Type,key,src_lat,src_long,dest_lat,dest_long,src,dest,Ready_time,Load,Delivery_start_time,Delivery_end_time,time,hour,Totals,Load
Shipment,MotherHub_AMD_ajwahub_bdq_0,22.8978044,72.5902141,22.3116149,73.238837,MotherHub_AMD,ajwahub_bdq,0,23,190800,198000,4.037639988,0,0.027,836
Shipment,MotherHub_AMD_ajwahub_bdq_1,22.8978044,72.5902141,22.3116149,73.238837,MotherHub_AMD,ajwahub_bdq,3600,11,190800,198000,4.037639988,1,0.013,836
Shipment,MotherHub_AMD_ajwahub_bdq_2,22.8978044,72.5902141,22.3116149,73.238837,MotherHub_AMD,ajwahub_bdq,7200,6,190800,198000,4.037639988,2,0.007,836
Shipment,MotherHub_AMD_ajwahub_bdq_3,22.8978044,72.5902141,22.3116149,73.238837,MotherHub_AMD,ajwahub_bdq,10800,4,190800,198000,4.037639988,3,0.004,836
Shipment,MotherHub_AMD_ajwahub_bdq_4,22.8978044,72.5902141,22.3116149,73.238837,MotherHub_AMD,ajwahub_bdq,14400,3,190800,198000,4.037639988,4,0.003,836
Shipment,MotherHub_AMD_ajwahub_bdq_5,22.8978044,72.5902141,22.3116149,73.238837,MotherHub_AMD,ajwahub_bdq,18000,4,190800,198000,4.037639988,5,0.004,836
Shipment,MotherHub_AMD_ajwahub_bdq_6,22.8978044,72.5902141,22.3116149,73.238837,MotherHub_AMD,ajwahub_bdq,21600,8,190800,198000,4.037639988,6,0.009,836
Shipment,MotherHub_AMD_ajwahub_bdq_7,22.8978044,72.5902141,22.3116149,73.238837,MotherHub_AMD,ajwahub_bdq,25200,16,190800,198000,4.037639988,7,0.018,836
Shipment,MotherHub_AMD_ajwahub_bdq_8,22.8978044,72.5902141,22.3116149,73.238837,MotherHub_AMD,ajwahub_bdq,28800,33,190800,198000,4.037639988,8,0.039,836
Shipment,MotherHub_AMD_ajwahub_bdq_9,22.8978044,72.5902141,22.3116149,73.238837,MotherHub_AMD,ajwahub_bdq,32400,46,190800,198000,4.037639988,9,0.054,836
Shipment,MotherHub_AMD_ajwahub_bdq_10,22.8978044,72.5902141,22.3116149,73.238837,MotherHub_AMD,ajwahub_bdq,36000,44,190800,198000,4.037639988,10,0.052,836
Shipment,MotherHub_AMD_ajwahub_bdq_11,22.8978044,72.5902141,22.3116149,73.238837,MotherHub_AMD,ajwahub_bdq,39600,50,190800,198000,4.037639988,11,0.059,836
Shipment,MotherHub_AMD_ajwahub_bdq_12,22.8978044,72.5902141,22.3116149,73.238837,MotherHub_AMD,ajwahub_bdq,43200,43,190800,198000,4.037639988,12,0.051,836
Shipment,MotherHub_AMD_ajwahub_bdq_13,22.8978044,72.5902141,22.3116149,73.238837,MotherHub_AMD,ajwahub_bdq,46800,46,190800,198000,4.037639988,13,0.055,836
Shipment,MotherHub_AMD_ajwahub_bdq_14,22.8978044,72.5902141,22.3116149,73.238837,MotherHub_AMD,ajwahub_bdq,50400,48,190800,198000,4.037639988,14,0.057,836
Shipment,MotherHub_AMD_ajwahub_bdq_15,22.8978044,72.5902141,22.3116149,73.238837,MotherHub_AMD,ajwahub_bdq,54000,45,190800,198000,4.037639988,15,0.053,836
Shipment,MotherHub_AMD_ajwahub_bdq_16,22.8978044,72.5902141,22.3116149,73.238837,MotherHub_AMD,ajwahub_bdq,57600,44,190800,198000,4.037639988,16,0.052,836
Shipment,MotherHub_AMD_ajwahub_bdq_17,22.8978044,72.5902141,22.3116149,73.238837,MotherHub_AMD,ajwahub_bdq,61200,46,190800,198000,4.037639988,17,0.055,836
Shipment,MotherHub_AMD_ajwahub_bdq_18,22.8978044,72.5902141,22.3116149,73.238837,MotherHub_AMD,ajwahub_bdq,64800,57,190800,198000,4.037639988,18,0.067,836
Shipment,MotherHub_AMD_ajwahub_bdq_19,22.8978044,72.5902141,22.3116149,73.238837,MotherHub_AMD,ajwahub_bdq,68400,57,190800,198000,4.037639988,19,0.068,836
Shipment,MotherHub_AMD_ajwahub_bdq_20,22.8978044,72.5902141,22.3116149,73.238837,MotherHub_AMD,ajwahub_bdq,72000,62,190800,198000,4.037639988,20,0.073,836
Shipment,MotherHub_AMD_ajwahub_bdq_21,22.8978044,72.5902141,22.3116149,73.238837,MotherHub_AMD,ajwahub_bdq,75600,55,190800,198000,4.037639988,21,0.065,836
Shipment,MotherHub_AMD_ajwahub_bdq_22,22.8978044,72.5902141,22.3116149,73.238837,MotherHub_AMD,ajwahub_bdq,79200,55,190800,198000,4.037639988,22,0.065,836
Shipment,MotherHub_AMD_ajwahub_bdq_23,22.8978044,72.5902141,22.3116149,73.238837,MotherHub_AMD,ajwahub_bdq,82800,42,190800,198000,4.037639988,23,0.05,836
Shipment,MotherHub_AMD_bharuchhub_brh_0,22.8978044,72.5902141,21.718804,72.985729,MotherHub_AMD,bharuchhub_brh,0,24,187200,208800,5.948248565,0,0.027,883
